fips,state,county,year,obesity_pct,inactivity_pct
NA,NA,NA,2023,23,20.5
NA,NA,NA,2023,28,14.9
NA,NA,NA,2023,30.2,18
NA,NA,NA,2023,34.7,21.6
NA,NA,NA,2023,30.7,21.2
NA,NA,NA,2023,31.8,22.8
NA,NA,NA,2023,39.1,25.6
NA,NA,NA,2023,28.4,20.3
NA,NA,NA,2023,19,16.9
NA,NA,NA,2023,29.6,24.2
NA,NA,NA,2023,27.9,17.9
NA,NA,NA,2023,21.1,16.9
NA,NA,NA,2023,30.1,21.3
NA,NA,NA,2023,20.5,18.5
NA,NA,NA,2023,27.5,19.1
NA,NA,NA,2023,31.1,19.6
NA,NA,NA,2023,30.4,18.6
NA,NA,NA,2023,31.6,21
NA,NA,NA,2023,30.1,21.1
NA,NA,NA,2023,25.2,18.5
NA,NA,NA,2023,33.1,26.1
NA,NA,NA,2023,29.9,24.1
NA,NA,NA,2023,34.30000000000001,23.5
NA,NA,NA,2023,32.80000000000001,21.9
NA,NA,NA,2023,36,29.1
NA,NA,NA,2023,28.6,18.4
NA,NA,NA,2023,28.9,20.5
NA,NA,NA,2023,30.6,20.3
NA,NA,NA,2023,34,23.8
NA,NA,NA,2023,24.2,16.5
NA,NA,NA,2023,30.2,22.7
NA,NA,NA,2023,31.4,25.1
NA,NA,NA,2023,24.8,18.3
NA,NA,NA,2023,23,17.8
NA,NA,NA,2023,27.9,22.2
NA,NA,NA,2023,32.5,26.6
NA,NA,NA,2023,17.6,12.9
NA,NA,NA,2023,21.7,13.9
NA,NA,NA,2023,23.4,17
NA,NA,NA,2023,25.4,18.5
NA,NA,NA,2023,21.9,14.5
NA,NA,NA,2023,30,24.8
NA,NA,NA,2023,29.9,28.4
NA,NA,NA,2023,29.6,26.2
NA,NA,NA,2023,23.4,16.3
NA,NA,NA,2023,25.6,22.6
NA,NA,NA,2023,21.5,15.5
NA,NA,NA,2023,23.9,16.8
NA,NA,NA,2023,19.5,11.5
NA,NA,NA,2023,21.3,15.9
NA,NA,NA,2023,25.4,15.1
NA,NA,NA,2023,27,18
NA,NA,NA,2023,29.1,20.7
NA,NA,NA,2023,22.6,18.4
NA,NA,NA,2023,21.9,14.3
NA,NA,NA,2023,22.4,16
NA,NA,NA,2023,22.8,14.7
NA,NA,NA,2023,24,16
NA,NA,NA,2023,25,20.9
NA,NA,NA,2023,25.1,18.2
NA,NA,NA,2023,23.9,13.9
NA,NA,NA,2023,27.7,20.4
NA,NA,NA,2023,27.4,21.9
NA,NA,NA,2023,26.3,18.5
NA,NA,NA,2023,23.4,16.3
NA,NA,NA,2023,23.9,13.6
NA,NA,NA,2023,29.1,23.3
NA,NA,NA,2023,30.6,22.7
NA,NA,NA,2023,27.8,22.4
NA,NA,NA,2023,28.2,19
NA,NA,NA,2023,23.3,14.4
NA,NA,NA,2023,26.6,21.7
NA,NA,NA,2023,26.2,20.3
NA,NA,NA,2023,26.8,21.1
NA,NA,NA,2023,33.7,25
NA,NA,NA,2023,31.9,25.9
NA,NA,NA,2023,22.8,13.7
NA,NA,NA,2023,24,16.5
NA,NA,NA,2023,27.5,21
NA,NA,NA,2023,20.7,12.6
NA,NA,NA,2023,32.1,24.4
NA,NA,NA,2023,29.6,24.4
NA,NA,NA,2023,25.9,19.4
NA,NA,NA,2023,28.1,23.5
NA,NA,NA,2023,20.4,14.2
NA,NA,NA,2023,26.8,23.7
NA,NA,NA,2023,26,18.6
NA,NA,NA,2023,23.1,14.7
NA,NA,NA,2023,28,21.2
NA,NA,NA,2023,20,14.3
NA,NA,NA,2023,24,16.8
NA,NA,NA,2023,28,19.8
NA,NA,NA,2023,32.2,20.8
NA,NA,NA,2023,27.5,21.8
NA,NA,NA,2023,29.5,20.2
NA,NA,NA,2023,23.5,17.1
NA,NA,NA,2023,31.8,21.3
NA,NA,NA,2023,29.4,18.1
NA,NA,NA,2023,28.4,15.7
NA,NA,NA,2023,33.30000000000001,21.8
NA,NA,NA,2023,31.3,17.4
NA,NA,NA,2023,28.2,17.9
NA,NA,NA,2023,33.6,22.6
NA,NA,NA,2023,36.2,23.6
NA,NA,NA,2023,39.1,27.6
NA,NA,NA,2023,33.7,22.9
NA,NA,NA,2023,37.1,25.4
NA,NA,NA,2023,24.2,17.2
NA,NA,NA,2023,24.2,17.2
NA,NA,NA,2023,28.3,25.8
NA,NA,NA,2023,31.9,24.5
NA,NA,NA,2023,38,29.4
NA,NA,NA,2023,31.1,27.2
NA,NA,NA,2023,38.30000000000001,32.5
NA,NA,NA,2023,33,23.7
NA,NA,NA,2023,30.6,26.9
NA,NA,NA,2023,37.1,31
NA,NA,NA,2023,30,25.6
NA,NA,NA,2023,31.6,27.1
NA,NA,NA,2023,35.2,25.2
NA,NA,NA,2023,27.2,24.9
NA,NA,NA,2023,34.30000000000001,29.9
NA,NA,NA,2023,41.6,38.30000000000001
NA,NA,NA,2023,38.5,32.1
NA,NA,NA,2023,34.6,27.8
NA,NA,NA,2023,35.4,25.3
NA,NA,NA,2023,32.6,23.3
NA,NA,NA,2023,38.4,29.3
NA,NA,NA,2023,43,34.7
NA,NA,NA,2023,36,29.1
NA,NA,NA,2023,40.1,33.1
NA,NA,NA,2023,32.6,25.4
NA,NA,NA,2023,38.7,35
NA,NA,NA,2023,40.6,38.2
NA,NA,NA,2023,37.1,38.2
NA,NA,NA,2023,35.9,27.2
NA,NA,NA,2023,39.1,29.6
NA,NA,NA,2023,29.5,25.6
NA,NA,NA,2023,36.5,31.5
NA,NA,NA,2023,32.30000000000001,24.2
NA,NA,NA,2023,35,31
NA,NA,NA,2023,35.4,27.9
NA,NA,NA,2023,37.30000000000001,31.9
NA,NA,NA,2023,35.5,26.2
NA,NA,NA,2023,27.9,23.8
NA,NA,NA,2023,35,23.9
NA,NA,NA,2023,36.9,30.7
NA,NA,NA,2023,39.7,31.2
NA,NA,NA,2023,39.9,35.30000000000001
NA,NA,NA,2023,31.1,23.8
NA,NA,NA,2023,38.2,27.9
NA,NA,NA,2023,28.7,21.7
NA,NA,NA,2023,30.1,33.2
NA,NA,NA,2023,30.4,22.9
NA,NA,NA,2023,30.5,21.5
NA,NA,NA,2023,31.6,22.8
NA,NA,NA,2023,33.9,32.80000000000001
NA,NA,NA,2023,30.4,25.7
NA,NA,NA,2023,35.4,32.6
NA,NA,NA,2023,27.5,24.2
NA,NA,NA,2023,31.6,25.9
NA,NA,NA,2023,27.5,23.1
NA,NA,NA,2023,36.30000000000001,28.2
NA,NA,NA,2023,36.6,33
NA,NA,NA,2023,24.6,18.2
NA,NA,NA,2023,35.2,29.1
NA,NA,NA,2023,30.6,26
NA,NA,NA,2023,26.6,20.5
NA,NA,NA,2023,30.1,23
NA,NA,NA,2023,33.9,21.3
NA,NA,NA,2023,35.6,29.2
NA,NA,NA,2023,37.30000000000001,32.30000000000001
NA,NA,NA,2023,35.9,31.7
NA,NA,NA,2023,35.1,25.9
NA,NA,NA,2023,33,26
NA,NA,NA,2023,29.5,24.6
NA,NA,NA,2023,36.80000000000001,31.1
NA,NA,NA,2023,34.30000000000001,24.5
NA,NA,NA,2023,38,33.2
NA,NA,NA,2023,41.5,38.2
NA,NA,NA,2023,40,32.7
NA,NA,NA,2023,42.8,33
NA,NA,NA,2023,42.9,29.7
NA,NA,NA,2023,36.5,28.2
NA,NA,NA,2023,36.2,26.3
NA,NA,NA,2023,34.2,26.7
NA,NA,NA,2023,44.4,34
NA,NA,NA,2023,36.5,31.6
NA,NA,NA,2023,40.9,29.4
NA,NA,NA,2023,38.5,29.5
NA,NA,NA,2023,38.2,32.80000000000001
NA,NA,NA,2023,39.80000000000001,31.6
NA,NA,NA,2023,34.80000000000001,22.6
NA,NA,NA,2023,38.1,28
NA,NA,NA,2023,41.9,31.8
NA,NA,NA,2023,39.7,31.1
NA,NA,NA,2023,44.2,36.4
NA,NA,NA,2023,37.30000000000001,26.6
NA,NA,NA,2023,41.1,34.30000000000001
NA,NA,NA,2023,37.4,27.9
NA,NA,NA,2023,34.5,25.5
NA,NA,NA,2023,43,33.2
NA,NA,NA,2023,36.1,25.6
NA,NA,NA,2023,38.6,29.6
NA,NA,NA,2023,38.7,32.80000000000001
NA,NA,NA,2023,32.80000000000001,22.3
NA,NA,NA,2023,36.80000000000001,26.2
NA,NA,NA,2023,44.5,35.2
NA,NA,NA,2023,38.80000000000001,32.5
NA,NA,NA,2023,44.1,37.6
NA,NA,NA,2023,33.1,21.2
NA,NA,NA,2023,39.5,34.1
NA,NA,NA,2023,40.2,34.1
NA,NA,NA,2023,33.80000000000001,23
NA,NA,NA,2023,40,32.9
NA,NA,NA,2023,36.7,24.2
NA,NA,NA,2023,38,30.6
NA,NA,NA,2023,41.4,36.4
NA,NA,NA,2023,34.30000000000001,27.1
NA,NA,NA,2023,31.6,22.3
NA,NA,NA,2023,43.6,32.6
NA,NA,NA,2023,30.1,24.4
NA,NA,NA,2023,39,31.9
